Age,Gender,NPS,ChurnLabel,PurchaseFrequency,PurchaseValue,SubscriptionPlan,WebsitePageViews,WebsiteTimeSpent,EngagementMetricsLogins,EngagementMetricsFrequency,FeedbackRating,MarketingCommunicationNoOfEmails,MarketingCommunicationOpenClickDiff,MarketingCommunicationSentOpenDiff,ServiceInteractions_Call,ServiceInteractions_Email,ServiceInteractions_Chat,PaymentHistoryNoOfLatePayments,ClickstreamData_Click,ClickstreamData_Add to Cart,ClickstreamData_Search,SubscriptionDuration,FirstInteractionDate,LastInteractionDate,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,customer_segment
30,1,4,0,40,4800.7,12,40,77,23,0,4,6,272.0,540.0,5,6,8,5,4,10,7,979,2019-01-07,2022-12-11,19,920,4800.7,4,5,5,14,Premium
36,1,0,1,41,4955.93,6,97,26,14,1,4,5,109.0,577.0,13,12,14,79,15,21,13,334,2019-01-06,2022-12-16,14,574,4955.93,5,4,5,14,Premium
23,0,0,1,18,1774.84,18,22,18,4,0,5,6,748.0,70.0,1,1,2,72,16,15,9,200,2019-12-16,2021-11-30,395,72,1774.84,1,1,2,4,Lost
62,0,4,0,67,4452.82,7,53,93,20,1,3,5,15.0,363.0,5,3,10,9,11,4,14,636,2019-01-12,2022-12-20,10,1340,4452.82,5,5,5,15,Premium
67,0,3,1,28,2804.3,10,8,25,18,1,3,2,353.0,1071.0,17,26,14,72,6,11,10,432,2019-05-21,2022-12-30,0,504,2804.3,5,4,3,12,Loyal
24,1,0,0,34,3629.58,1,48,15,5,1,1,2,24.0,226.0,1,1,2,5,16,15,13,968,2019-10-08,2022-08-12,140,170,3629.58,2,2,4,8,At_Risk
53,1,1,1,55,5669.2300000000005,7,54,13,9,2,5,8,287.0,528.0,18,17,19,59,9,11,12,24,2019-02-22,2022-10-22,69,495,5669.2300000000005,3,4,5,12,Loyal
35,1,4,0,35,2960.46,18,36,73,28,0,3,5,234.0,874.0,3,8,7,7,11,14,9,356,2019-01-10,2022-11-30,30,980,2960.46,4,5,3,12,Loyal
70,0,0,0,20,1610.74,15,49,87,2,1,3,10,314.0,70.0,0,1,1,8,16,16,18,96,2021-06-21,2022-05-03,241,40,1610.74,1,1,2,4,Lost
21,1,1,1,5,1112.67,1,7,16,20,0,5,8,402.0,423.0,21,18,18,26,2,2,2,126,2019-01-29,2022-12-17,13,100,1112.67,5,1,1,7,At_Risk
41,1,0,1,48,4845.429999999999,1,40,7,20,0,5,4,39.0,876.0,4,8,5,51,10,7,12,25,2019-02-27,2022-07-05,178,960,4845.429999999999,2,5,5,12,Loyal
36,0,0,1,11,1447.26,0,63,30,11,2,1,2,2.0,209.0,24,17,12,74,3,6,4,317,2019-01-03,2022-12-11,19,121,1447.26,4,2,2,8,At_Risk
65,0,5,0,12,1955.78,6,37,70,16,0,5,7,5.0,122.0,5,3,7,8,14,7,8,89,2019-03-27,2022-12-14,16,192,1955.78,5,2,2,9,At_Risk
36,1,3,1,18,1777.9,12,54,1,16,2,2,6,8.0,1061.0,3,3,2,67,1,0,3,550,2019-10-23,2022-10-13,78,288,1777.9,3,3,2,8,At_Risk
32,1,3,1,38,3996.2200000000003,4,12,35,30,2,4,8,238.0,771.0,9,12,12,60,16,12,19,151,2019-01-13,2022-12-14,16,1140,3996.2200000000003,5,5,4,14,Premium
55,0,3,1,37,3689.32,0,44,19,7,0,4,7,60.0,677.0,3,7,3,69,3,1,3,258,2019-02-25,2022-11-06,54,259,3689.32,3,2,4,9,At_Risk
50,1,3,0,45,4331.78,16,29,12,27,1,4,5,1062.0,74.0,1,8,9,7,0,6,1,530,2019-03-07,2022-07-30,153,1215,4331.78,2,5,5,12,Loyal
38,0,0,1,33,3043.06,11,49,18,4,1,2,5,48.0,21.0,10,11,22,58,11,18,15,350,2019-01-03,2022-12-20,10,132,3043.06,5,2,3,10,Loyal
63,1,3,1,20,2662.06,6,69,16,5,2,4,5,6.0,802.0,6,3,3,75,9,13,15,105,2019-11-12,2022-08-25,127,100,2662.06,2,1,3,6,At_Risk
59,0,3,0,37,2598.0,1,84,35,10,0,3,7,106.0,455.0,12,11,16,52,14,8,6,118,2019-02-25,2022-12-14,16,370,2598.0,5,3,3,11,Loyal
62,0,2,0,29,4004.58,15,12,71,16,1,4,6,45.0,116.0,0,3,0,9,4,9,11,21,2021-02-05,2021-03-09,661,464,4004.58,1,3,4,8,At_Risk
62,0,2,0,38,3925.85,8,77,100,30,2,1,10,106.0,194.0,1,3,0,8,9,15,13,16,2019-06-15,2022-09-13,108,1140,3925.85,2,5,4,11,Loyal
22,1,2,1,53,4603.04,7,58,1,14,0,4,2,28.0,416.0,13,2,22,84,2,1,3,315,2019-01-31,2022-11-28,32,742,4603.04,4,4,5,13,Loyal
47,1,8,0,32,2658.36,18,96,10,25,0,5,4,30.0,15.0,5,6,8,6,19,6,7,435,2019-02-02,2022-12-18,12,800,2658.36,5,4,3,12,Loyal
37,1,1,0,33,1859.18,19,31,61,2,1,1,7,24.0,357.0,6,6,6,6,13,14,15,107,2019-04-10,2022-12-05,25,66,1859.18,4,1,2,7,At_Risk
62,1,6,0,14,808.76,10,99,88,8,2,3,9,131.0,395.0,6,3,2,10,6,2,1,71,2019-02-04,2022-05-17,227,112,808.76,1,2,1,4,Lost
59,0,2,1,5,254.32,7,97,17,24,2,1,7,64.0,413.0,15,15,13,61,1,2,1,414,2019-01-10,2022-12-24,6,120,254.32,5,2,1,8,At_Risk
39,0,1,1,23,1174.48,18,24,18,23,1,4,10,154.0,660.0,9,4,15,52,10,9,13,3,2019-03-12,2022-10-14,77,529,1174.48,3,4,2,9,At_Risk
49,1,8,0,37,1916.5,9,51,18,15,2,1,8,55.0,37.0,0,1,0,2,6,5,16,41,2022-11-07,2022-11-07,53,555,1916.5,3,4,2,9,At_Risk
34,1,6,0,9,855.6500000000001,17,83,11,14,2,2,1,107.0,581.0,4,2,6,9,3,2,4,961,2019-04-12,2022-05-23,221,126,855.6500000000001,1,2,1,4,Lost
69,0,9,0,36,3233.02,10,75,35,15,1,5,7,467.0,237.0,4,6,6,9,8,5,6,761,2019-01-15,2022-12-07,23,540,3233.02,4,4,4,12,Loyal
61,0,5,0,10,243.23,0,97,2,23,2,2,8,294.0,507.0,1,2,4,8,4,4,7,432,2020-07-13,2022-10-18,73,230,243.23,3,2,1,6,At_Risk
30,0,0,1,51,4997.04,15,19,22,29,1,1,6,92.0,550.0,8,5,12,58,5,8,10,117,2019-03-12,2022-12-17,13,1479,4997.04,5,5,5,15,Premium
70,0,7,0,9,2309.48,9,75,94,10,2,1,7,923.0,49.0,2,1,0,8,7,15,16,71,2021-02-18,2021-08-15,502,90,2309.48,1,1,3,5,Lost
51,1,0,1,18,2599.87,0,47,2,28,1,4,2,12.0,65.0,15,16,20,49,20,13,17,854,2019-02-04,2022-12-13,17,504,2599.87,5,4,3,12,Loyal
61,1,7,0,37,1913.76,3,24,56,29,2,5,5,191.0,142.0,2,1,4,6,12,12,8,145,2019-04-15,2021-02-02,696,1073,1913.76,1,5,2,8,At_Risk
54,0,2,1,58,4565.95,10,30,7,26,2,2,9,170.0,475.0,11,15,11,84,14,17,15,384,2019-01-05,2022-11-18,42,1508,4565.95,4,5,5,14,Premium
66,0,3,0,40,4521.14,11,78,11,23,0,3,5,6.0,22.0,4,8,5,7,10,11,6,35,2019-04-02,2022-12-29,1,920,4521.14,5,5,5,15,Premium
55,0,5,0,63,5560.7,0,15,79,16,0,5,4,7.0,436.0,11,6,2,8,10,10,10,932,2019-02-21,2022-10-25,66,1008,5560.7,3,5,5,13,Loyal
69,0,3,1,16,1109.6999999999998,18,42,27,20,1,5,1,31.0,847.0,19,13,16,63,13,17,7,454,2019-02-18,2022-11-20,40,320,1109.6999999999998,4,3,1,8,At_Risk
29,1,7,0,27,5102.4400000000005,7,83,78,4,1,5,1,431.0,434.0,2,2,3,7,0,2,0,988,2019-12-16,2022-11-27,33,108,5102.4400000000005,4,1,5,10,Loyal
50,0,1,1,18,1648.3899999999999,1,64,10,5,1,2,9,514.0,805.0,9,9,7,56,13,7,7,86,2019-07-21,2022-12-20,10,90,1648.3899999999999,5,1,2,8,At_Risk
65,1,3,1,60,2235.25,12,99,30,16,1,2,8,129.0,293.0,13,23,22,60,4,5,2,165,2019-02-06,2022-12-24,6,960,2235.25,5,5,3,13,Loyal
58,1,3,1,31,3761.66,17,5,26,13,0,3,4,69.0,406.0,17,16,11,40,4,7,3,51,2019-04-03,2022-12-17,13,403,3761.66,5,3,4,12,Loyal
22,1,3,1,31,1612.92,9,29,13,26,1,2,9,49.0,655.0,17,22,19,60,18,14,15,69,2019-01-13,2022-11-21,39,806,1612.92,4,4,2,10,Loyal
66,1,1,1,31,2686.93,7,65,20,11,1,5,5,407.0,179.0,17,8,22,76,4,5,1,39,2019-03-04,2022-12-30,0,341,2686.93,5,3,3,11,Loyal
38,0,0,1,3,1314.1200000000001,14,42,4,14,1,2,10,761.0,188.0,16,19,15,59,5,6,7,214,2019-01-19,2022-12-28,2,42,1314.1200000000001,5,1,2,8,At_Risk
57,1,0,0,23,1993.4099999999999,16,95,57,23,1,5,3,190.0,883.0,3,0,1,7,5,4,6,611,2020-08-31,2022-10-21,70,529,1993.4099999999999,3,4,2,9,At_Risk
32,0,2,1,14,1359.03,8,48,6,30,2,3,6,39.0,183.0,0,3,1,62,5,5,6,30,2019-03-19,2021-12-05,390,420,1359.03,1,3,2,6,At_Risk
69,0,3,1,30,2309.9500000000003,3,30,9,26,1,5,8,26.0,119.0,4,6,10,71,10,16,18,513,2019-01-12,2022-12-19,11,780,2309.9500000000003,5,4,3,12,Loyal
39,1,3,0,61,5615.0199999999995,17,23,46,13,1,4,3,58.0,454.0,5,7,1,12,2,0,1,435,2019-04-09,2022-10-05,86,793,5615.0199999999995,3,4,5,12,Loyal
37,0,4,0,50,2678.5,19,54,61,25,0,2,4,411.0,483.0,1,1,2,4,13,16,11,1092,2019-01-26,2021-07-03,545,1250,2678.5,1,5,3,9,At_Risk
51,0,3,1,15,917.28,18,69,26,28,0,3,3,11.0,104.0,4,7,6,57,7,11,11,268,2019-03-21,2022-12-29,1,420,917.28,5,3,1,9,At_Risk
43,1,0,1,16,2297.96,19,2,21,21,2,1,5,242.0,313.0,6,2,4,97,3,0,4,5,2019-04-28,2022-09-07,114,336,2297.96,2,3,3,8,At_Risk
63,0,1,0,43,5391.7300000000005,9,50,2,27,0,2,8,4.0,208.0,0,0,2,7,5,4,1,54,2019-08-08,2022-04-09,265,1161,5391.7300000000005,1,5,5,11,Loyal
48,1,2,1,29,2042.23,16,43,16,7,2,4,8,288.0,290.0,1,6,5,106,7,11,17,32,2019-01-13,2021-12-25,370,203,2042.23,1,2,2,5,Lost
21,1,1,1,36,4487.18,15,98,8,19,0,2,5,287.0,41.0,22,15,17,47,2,9,7,63,2019-01-02,2022-10-29,62,684,4487.18,3,4,5,12,Loyal
36,0,6,0,29,2507.02,0,89,77,9,0,2,6,72.0,629.0,6,1,4,4,8,11,5,33,2019-05-06,2022-07-05,178,261,2507.02,2,3,3,8,At_Risk
48,1,9,0,46,1994.48,4,59,67,14,0,2,9,1.0,642.0,2,3,0,9,12,12,17,135,2019-02-20,2022-06-18,195,644,1994.48,2,4,2,8,At_Risk
53,0,0,1,58,4150.79,17,51,22,16,1,4,1,4.0,235.0,26,13,19,56,1,2,1,155,2019-01-09,2022-12-11,19,928,4150.79,4,5,4,13,Loyal
43,0,0,1,19,1716.9,6,79,35,15,2,2,8,370.0,595.0,3,1,5,93,5,2,2,150,2019-07-10,2022-11-11,49,285,1716.9,3,3,2,8,At_Risk
23,1,2,1,35,1667.1299999999999,3,53,26,24,1,1,3,533.0,596.0,17,19,14,24,10,7,11,0,2019-01-03,2022-10-21,70,840,1667.1299999999999,3,5,2,10,Loyal
35,0,6,0,8,929.03,2,45,100,16,1,3,10,58.0,4.0,1,1,0,9,0,5,0,14,2022-11-10,2022-12-06,24,128,929.03,4,2,1,7,At_Risk
37,1,0,1,21,2310.17,16,1,8,10,0,2,3,3.0,124.0,13,9,6,33,8,4,3,110,2019-04-04,2022-12-13,17,210,2310.17,5,2,3,10,Loyal
60,1,5,0,35,3033.55,9,29,36,9,0,2,4,32.0,298.0,1,0,1,6,15,17,12,279,2019-03-06,2021-02-22,676,315,3033.55,1,3,3,7,At_Risk
35,1,3,1,40,3698.39,2,62,12,3,0,2,8,225.0,250.0,19,17,17,77,9,13,12,620,2019-01-02,2022-10-25,66,120,3698.39,3,2,4,9,At_Risk
22,0,2,1,29,4070.18,15,39,7,21,1,1,10,95.0,180.0,10,14,11,84,18,14,15,693,2019-02-24,2022-12-03,27,609,4070.18,4,4,4,12,Loyal
51,1,1,1,61,4650.86,3,57,20,11,2,1,2,37.0,8.0,12,10,9,66,8,7,4,564,2019-01-03,2022-09-19,102,671,4650.86,2,4,5,11,Loyal
60,1,0,1,10,73.12,13,41,18,1,0,5,2,465.0,113.0,15,14,17,37,9,5,10,1019,2019-01-16,2022-10-24,67,10,73.12,3,1,1,5,Lost
28,1,0,0,2,458.99,14,60,46,5,0,4,1,319.0,458.0,6,7,2,13,1,4,2,530,2019-10-20,2022-10-29,62,10,458.99,3,1,1,5,Lost
61,1,2,0,48,4727.67,18,84,2,18,1,1,1,34.0,728.0,4,5,2,5,9,9,6,39,2019-03-30,2022-04-22,252,864,4727.67,1,5,5,11,Loyal
70,1,3,1,52,4575.82,11,24,29,18,1,4,5,19.0,519.0,8,16,13,49,1,4,1,830,2019-01-07,2022-10-04,87,936,4575.82,3,5,5,13,Loyal
63,1,0,0,32,3085.47,4,91,6,6,0,1,7,792.0,417.0,2,1,2,5,12,8,10,163,2019-01-31,2022-08-25,127,192,3085.47,2,2,3,7,At_Risk
39,0,3,1,55,4747.0,9,69,23,9,2,1,4,24.0,29.0,11,15,16,68,12,15,10,74,2019-01-18,2022-12-18,12,495,4747.0,5,4,5,14,Premium
63,0,2,0,23,2715.33,11,36,98,16,1,5,8,71.0,338.0,1,5,4,5,12,14,9,900,2019-01-01,2022-08-21,131,368,2715.33,2,3,3,8,At_Risk
66,0,3,1,10,1843.13,16,100,33,15,2,4,5,361.0,489.0,12,16,12,36,3,5,2,673,2019-01-24,2022-12-29,1,150,1843.13,5,2,2,9,At_Risk
50,1,3,1,16,632.69,6,65,11,23,0,1,5,4.0,426.0,14,16,11,55,12,13,13,184,2019-01-31,2022-12-06,24,368,632.69,4,3,1,8,At_Risk
43,0,8,0,58,5303.61,12,68,103,28,2,5,7,124.0,244.0,1,3,3,12,12,8,11,966,2019-04-23,2022-08-22,130,1624,5303.61,2,5,5,12,Loyal
40,1,0,1,31,4188.97,5,4,9,7,0,1,2,174.0,59.0,11,7,8,48,9,13,19,0,2019-03-12,2022-11-29,31,217,4188.97,4,2,4,10,Loyal
64,0,0,1,34,4939.18,0,5,18,1,2,5,10,0.0,120.0,13,7,7,53,18,9,20,898,2019-02-16,2022-10-12,79,34,4939.18,3,1,5,9,At_Risk
40,0,1,0,1,640.92,13,74,2,13,0,4,3,79.0,497.0,4,3,5,12,16,8,15,50,2019-04-12,2022-08-26,126,13,640.92,2,1,1,4,Lost
29,0,4,0,7,556.29,9,20,83,8,0,5,7,569.0,119.0,4,5,7,7,16,13,8,1166,2019-02-28,2022-09-11,110,56,556.29,2,1,1,4,Lost
34,1,2,1,46,4177.43,16,4,30,28,2,4,10,8.0,202.0,10,1,8,41,7,12,12,325,2019-02-11,2022-12-03,27,1288,4177.43,4,5,4,13,Loyal
54,1,3,1,11,3343.28,10,31,22,12,1,2,1,257.0,707.0,14,15,18,51,20,8,14,332,2019-01-03,2022-11-25,35,132,3343.28,4,2,4,10,Loyal
46,1,1,0,30,2115.49,7,33,66,20,0,1,2,122.0,796.0,8,3,6,7,1,2,0,35,2019-04-30,2022-09-29,92,600,2115.49,2,4,2,8,At_Risk
41,1,9,0,7,2038.6399999999999,5,64,47,21,0,4,7,5.0,638.0,4,1,3,4,5,8,11,237,2020-06-21,2022-09-24,97,147,2038.6399999999999,2,2,2,6,At_Risk
60,1,3,1,39,4939.18,2,56,26,30,2,5,10,34.0,128.0,2,0,2,4,15,15,16,560,2019-10-02,2021-03-10,660,1170,4939.18,1,5,5,11,Loyal
36,0,0,0,1,214.3,8,97,52,25,0,3,7,55.0,104.0,5,2,4,9,2,1,10,19,2020-01-04,2022-10-27,64,25,214.3,3,1,1,5,Lost
53,0,1,1,20,2826.87,8,92,6,28,1,3,6,53.0,2.0,11,10,14,55,13,13,17,207,2019-03-04,2022-12-11,19,560,2826.87,4,4,3,11,Loyal
43,0,0,1,55,5296.3,16,29,11,21,1,3,2,38.0,1160.0,8,2,3,27,1,3,3,16,2019-04-27,2022-10-28,63,1155,5296.3,3,5,5,13,Loyal
42,1,2,1,17,1078.39,2,18,22,26,2,1,5,30.0,51.0,9,15,16,62,3,2,5,1003,2019-02-20,2022-09-25,96,442,1078.39,2,3,1,6,At_Risk
44,0,3,1,25,1634.8899999999999,12,5,32,11,2,1,3,552.0,124.0,17,21,21,78,8,2,0,39,2019-02-12,2022-12-25,5,275,1634.8899999999999,5,3,2,10,Loyal
66,1,3,0,15,1810.81,10,52,9,22,2,2,4,103.0,16.0,7,3,2,6,8,12,9,467,2019-10-23,2022-09-15,106,330,1810.81,2,3,2,7,At_Risk
21,1,9,0,13,2363.6,3,43,77,4,0,5,2,246.0,465.0,3,5,3,9,11,16,15,641,2019-08-11,2022-12-04,26,52,2363.6,4,1,3,8,At_Risk
35,0,1,0,21,1332.21,14,17,86,4,0,1,6,118.0,436.0,2,6,1,5,21,14,13,171,2019-02-06,2022-08-28,124,84,1332.21,2,1,2,5,Lost
27,1,3,0,22,1134.43,17,86,15,21,0,1,2,325.0,549.0,9,4,5,13,9,8,9,424,2019-01-23,2022-07-04,179,462,1134.43,2,3,1,6,At_Risk
60,1,0,1,34,1982.48,18,24,13,15,2,4,10,56.0,389.0,11,9,9,63,15,15,14,350,2019-01-01,2022-12-22,8,510,1982.48,5,4,2,11,Loyal
43,0,6,0,63,4495.41,6,75,100,26,0,4,5,88.0,104.0,0,1,0,7,8,16,8,203,2022-10-07,2022-10-07,84,1638,4495.41,3,5,5,13,Loyal
54,1,7,0,45,4044.43,18,88,29,9,2,2,6,4.0,1.0,2,6,4,13,2,2,2,71,2019-08-07,2022-12-16,14,405,4044.43,5,3,4,12,Loyal
42,0,8,0,47,4035.29,9,72,40,8,0,1,1,95.0,27.0,3,3,1,4,13,12,11,105,2019-01-27,2022-11-28,32,376,4035.29,4,3,4,11,Loyal
